Subject, Start Date, Start Time, End Date, End Time, All Day Event, Description, Location, Private
event1,2025-03-01,08:07,2025-03-01,09:10,false,desc1,newLoc,false
event12,2025-03-11,08:00,2025-03-11,09:00,false,newDesc,l2,false
newSubject,2025-05-21,10:07,2025-05-21,11:12,false,null,null,true
newSubject,2025-05-23,10:07,2025-05-23,11:12,false,null,null,true
newSubject,2025-05-26,10:07,2025-05-26,11:12,false,null,null,true
newSubject,2025-05-28,10:07,2025-05-28,11:12,false,null,null,true
newSubject,2025-05-30,10:07,2025-05-30,11:12,false,null,null,true
newSubject,2025-06-02,10:07,2025-06-02,11:12,false,null,null,true
newSubject,2025-06-04,10:07,2025-06-04,11:12,false,null,null,true
newSubject,2025-06-06,10:07,2025-06-06,11:12,false,null,null,true
newSubject,2025-06-09,10:07,2025-06-09,11:12,false,null,null,true
newSubject,2025-06-11,10:07,2025-06-11,11:12,false,null,null,true
newSubject,2025-06-13,10:07,2025-06-13,11:12,false,null,null,true
newSubject,2025-06-16,10:07,2025-06-16,11:12,false,null,null,true
newSubject,2025-06-18,10:07,2025-06-18,11:12,false,null,null,true
newSubject,2025-06-20,10:07,2025-06-20,11:12,false,null,null,true
event3U,2025-03-04,12:03,2025-03-04,13:14,false,null,null,true
event3U,2025-03-06,12:03,2025-03-06,13:14,false,null,null,true
event3U,2025-03-11,12:03,2025-03-11,13:14,false,null,null,true
event3U,2025-03-13,12:03,2025-03-13,13:14,false,null,null,true
event4Allday,2025-03-11,14:03,,,true,null,null,true
event4All,2025-03-02,12:03,,,true,null,null,true
event5RepeatN,2025-03-15,00:00,,,true,null,null,true
event5RepeatN,2025-03-16,00:00,,,true,null,null,true
event5RepeatN,2025-03-22,00:00,,,true,null,null,true
event5RepeatN,2025-03-23,00:00,,,true,null,null,true
event5RepeatN,2025-03-29,00:00,,,true,null,null,true
event5RepeatN,2025-03-30,00:00,,,true,null,null,true
event5RepeatN,2025-04-05,00:00,,,true,null,null,true
event5RepeatN,2025-04-06,00:00,,,true,null,null,true
event5RepeatN,2025-04-12,00:00,,,true,null,null,true
event5RepeatN,2025-04-13,00:00,,,true,null,null,true
event5RepeatN,2025-04-19,00:00,,,true,null,null,true
event5RepeatN,2025-04-20,00:00,,,true,null,null,true
event5RepeatN,2025-04-26,00:00,,,true,null,null,true
event5RepeatN,2025-04-27,00:00,,,true,null,null,true
event6Alldayrepeat,2025-03-12,00:00,,,true,null,null,true
event6Alldayrepeat,2025-03-14,00:00,,,true,null,null,true
event6Alldayrepeat,2025-03-19,00:00,,,true,null,null,true
event6Alldayrepeat,2025-03-21,00:00,,,true,null,null,true
